accuracy,f1,precision,recall,model,column
0.5018501588959993,0.668309226354387,0.5018501588959993,0.9784122223414,fine_tuned,text
0.710576067961467,0.679560845121821,0.7646329653302344,0.611523495588381,pretrained,text
0.6230619974253251,0.5998316414954197,0.6419138999385302,0.5629275304847824,statistical,text
0.5018501588959993,0.668309226354387,0.5018501588959993,0.93125456343,fine_tuned,clean_text
0.712612797502441,0.6811847170670456,0.7683657587548638,0.6117713393476752,pretrained,clean_text
0.6257206291162148,0.6033886241869477,0.644362182780413,0.5673143650242887,statistical,clean_text
0.5018501588959993,0.668309226354387,0.5018501588959993,0.92211303003,fine_tuned,lemetized_text
0.6722015958009167,0.644667210473449,0.7068789639419878,0.5925200753445028,pretrained,lemetized_text
0.6226142278773857,0.5978028533081473,0.6425838718180718,0.5588566967383761,statistical,lemetized_text
0.5018501588959993,0.668309226354387,0.5018501588959993,0.9363453131,fine_tuned,stemmed_text
0.6343215358495494,0.5823626342405819,0.6821751863684771,0.5080301378011302,pretrained,stemmed_text
0.5928966336436625,0.5308968433121932,0.6294414518513484,0.4590314265886785,statistical,stemmed_text
