Model,accuracy,f1,precision,recall
Pre-trained,0.6519118901972062,0.6056182401563928,0.7014249501636601,0.5328385275477201
Fine-tuned,0.5015863390420701,0.6680752561481809,0.5015863390420701,1.0
Statistical,0.6170780728871996,0.5878061911170929,0.6388216451039618,0.544336218661781
