Model,accuracy,f1,precision,recall
Pre-trained,0.65833125,0.6107780594081964,0.7125118357447798,0.5344660012709805
Fine-tuned,0.50158125,0.6680707420927106,0.50158125,1.0
Statistical,0.6214291742597345,0.5952274322382274,0.6418269750545974,0.5549365290059638
