Model,accuracy,f1,precision,recall
Pre-trained,0.6170587293967035,0.5404263491453812,0.6907216494845361,0.4438485804416404
Fine-tuned,0.5072811649863979,0.6731075485720353,0.5072811649863979,1.0
Statistical,0.5914546327412386,0.5387533875338754,0.6304439746300211,0.4703470031545741
